category,usage,topic,meaning,sentence
이메일 및 기타문서,인사및소개,안부및인사,잘 지내고 계시길 바랍니다.,Hope you are well.
이메일 및 기타문서,인사및소개,안부및인사,오랜만이네요.,It’s been a while
이메일 및 기타문서,인사및소개,안부및인사,오랜만이네요.,Long time no talk!
이메일 및 기타문서,인사및소개,안부및인사,오랜만이네요.,IT’s been a long time
이메일 및 기타문서,인사및소개,안부및인사,오랜만이네요.,Good to talk to you again
이메일 및 기타문서,인사및소개,안부및인사,오랜만이네요.,I haven’t seen you in years.
이메일 및 기타문서,인사및소개,안부및인사,오랜만이네요.,Haven’t talked with you in[for] ages.
이메일 및 기타문서,인사및소개,안부및인사,그동안잘지냈어요?,How have you been?
이메일 및 기타문서,인사및소개,안부및인사,그동안잘지냈어요?,What have you been doing?
이메일 및 기타문서,인사및소개,안부및인사,그동안잘지냈어요?,What have you been up to?
이메일 및 기타문서,인사및소개,안부및인사,잘 지내십니까? 모든 일들이 잘 되고 있나요?,How are you doing? Is everything going well with you?
이메일 및 기타문서,인사및소개,안부및인사,별일없죠?,What’s up? 
이메일 및 기타문서,인사및소개,안부및인사,별일없죠?,What's new? 
이메일 및 기타문서,인사및소개,안부및인사,별일없죠?,Anything new?
이메일 및 기타문서,인사및소개,안부및인사,그냥잘지냈어요.,|’ve been okay.
이메일 및 기타문서,인사및소개,안부및인사,아주즐았어요.,Never been better.
이메일 및 기타문서,인사및소개,안부및인사,일로바쨌어요.,1 have been busy with work
이메일 및 기타문서,인사및소개,안부및인사,한 달간 머디 좀 다녀왔어요.,1 was out of town for a month
이메일 및 기타문서,인사및소개,안부및인사,지난달은 출장 중이었어요.,1 was on a business trip last month.
이메일 및 기타문서,인사및소개,안부및인사,지난번에 말씀 나눠 반가웠습니다.,It was good to talk with you the other day.
이메일 및 기타문서,인사및소개,안부및인사,모든 일이 잘 되시기를 바랍니다.,Hope everything is good.
이메일 및 기타문서,인사및소개,안부및인사,당신에게 도움이 되어 영광입니다.,It is my honor to be of help to you .
이메일 및 기타문서,인사및소개,안부및인사,당신을 위해 일하게 되어 영광입니다.,It is my honor to serve you.
이메일 및 기타문서,인사및소개,안부및인사,저는 저희 상품으로 저희의 고객을 섭기게 되어 정말 기쁨니다.,1 am so happy to serve our customers with our products.
이메일 및 기타문서,인사및소개,안부및인사,이 표로젝트를 함께 하게 되어 기쁨니다.,1 am so happy[glad] to do this project with you.
이메일 및 기타문서,인사및소개,안부및인사,이 기회를 얻게 되어 정말 행운이라고 샘각합니다.,1 feel so lucky to have this opportunity.
이메일 및 기타문서,인사및소개,안부및인사,우리의 상호 발전을 기대하고 있습니다.,I look forward to mutually beneficial growth.
이메일 및 기타문서,인사및소개,안부및인사,풍은 관계를 형성하면 좋겠습니다.,1 would like to establish a good partnership with you.
이메일 및 기타문서,인사및소개,안부및인사,잘지내길바랍니다.,1 hope this finds you wel l.
이메일 및 기타문서,인사및소개,안부및인사,마이애미의 햇살을 즐기고 계실 거라고 생각합니다.,1 believe you are enjoying the sunshine in Miami.
이메일 및 기타문서,인사및소개,안부및인사,회의에서 웹게 되어 반가웠습니다.,It was nice to see you at the conference.
이메일 및 기타문서,인사및소개,감사하기,여러모로감사합니다.,Thank you for everything.
이메일 및 기타문서,인사및소개,감사하기,도와주셔서 감사합니다.,Thank you for your help.
이메일 및 기타문서,인사및소개,감사하기,시간 내 주셔서 감사합니다.,Thank you for your time.
이메일 및 기타문서,인사및소개,감사하기,마음 써 주셔서 감사합니다.,Thank you for your sympathy.
이메일 및 기타문서,인사및소개,감사하기,이메일잘맡댔어요.,Thank you for your email.
이메일 및 기타문서,인사및소개,감사하기,융통성 있게 처리해 주셔서 감사합니다.,1 appreciate your flexibility.
