category,usage,topic,meaning,sentence
면접,인사 및 자기소개,첫인사,안녕하세요,Hello.
면접,인사 및 자기소개,첫인사,안녕하세요,Good morning.
면접,인사 및 자기소개,첫인사,안녕하세요,Good afternoon.
면접,인사 및 자기소개,첫인사,안녕하세요,How do you do?
면접,인사 및 자기소개,첫인사,안녕하세요,How are you doing?
면접,인사 및 자기소개,첫인사,만나서 반가워요.,It's nice to meet you.
면접,인사 및 자기소개,첫인사,만나서 반가워요.,I'm pleased to meet you.
면접,인사 및 자기소개,첫인사,이 자리에 함께하여 영광입니다[기뻐요].,I'm honored[excited] to be here.
면접,인사 및 자기소개,첫인사,"먼저, 이 기회를 주셔서 감사드립니다.","First of all, thank you for this opportunity."
면접,인사 및 자기소개,첫인사,이 인터뷰 기회를 갖게 되어 기쁩니다.,I am pleased to have this interview opportunity.
면접,인사 및 자기소개,첫인사,이 인터뷰 기회를 갖게 되어 기쁩니다.,I am pleased to he here for an interview.
면접,인사 및 자기소개,자기소개,제 이름은 {김백수}입니다.,My name is {Baeksu Kim}.
면접,인사 및 자기소개,자기소개,저는 {포항} 출신입니다.,I am from {Pohang}.
면접,인사 및 자기소개,자기소개,제 이름은 윤보배입니다. 제 부모님이 '보배'라고 이름을 지어주셨는데 '보물'이라는 뜻이지요.,My name is {Bobae Yoon}. My parents named me 'Bobae' which means 'treasure'.
프레젠테이션,프레젠테이션 시작 및 소개,인사,안녕하세요,Good morning.
프레젠테이션,프레젠테이션 시작 및 소개,인사,안녕하세요,Good afternoon.
프레젠테이션,프레젠테이션 시작 및 소개,인사,안녕하세요,Good evening.
프레젠테이션,프레젠테이션 시작 및 소개,인사,안녕하세요,Hello.
프레젠테이션,프레젠테이션 시작 및 소개,인사,"신사 숙녀 여려분, 안녕하세요","Hellp, ladies and gentlemen."
프레젠테이션,프레젠테이션 시작 및 소개,인사,안녕하세요,How are you all?
프레젠테이션,프레젠테이션 시작 및 소개,인사,안녕하세요,How are you doing today?
프레젠테이션,프레젠테이션 시작 및 소개,인사,안녕하세요,How is everyone doing here today?
프레젠테이션,프레젠테이션 시작 및 소개,인사,잘 지내셨어요?,How have you been?
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 이 자리에 여러분과 함께 할 수 있어 기쁩니다,It's great to be here with you today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 이 자리에 여러분과 함께 할 수 있어 기쁩니다,It's my pleasure to be here today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 이 자리에 여러분과 함께 할 수 있어 기쁩니다,I'm glad to be here with you today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,여러분과 함께 하게 되어 영광입니다,It's my honor to be here with you.
프레젠테이션,프레젠테이션 시작 및 소개,인사,여러분 모두와 이 자리에 함께하게 되어 기쁩니다!,How nice to be here with you all!
프레젠테이션,프레젠테이션 시작 및 소개,인사,여러분 모두와 이 자리에 함께하게 되어 기쁩니다!,Very nice to be with you.
프레젠테이션,프레젠테이션 시작 및 소개,인사,와 주셔서 감사합니다,Thank you for coming.
프레젠테이션,프레젠테이션 시작 및 소개,인사,참석해 주셔서 감사합니다,I appreciate your attendance.
프레젠테이션,프레젠테이션 시작 및 소개,인사,바쁘신 와중에 시간을 내서 오늘 참석해 주셔서 대단히 감사합니다,Thank you very much for taking the time out of your busy schedule to be here today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,GHI 인터네셔널에 오신 것을 환영합니다,Welcome to GHI International.
프레젠테이션,프레젠테이션 시작 및 소개,인사,GMT 코리아의 연례 회의에 오신 것을 환영합니다,Welcome to the annual meeting of GNT Korea.
프레젠테이션,프레젠테이션 시작 및 소개,인사,모두들 환영합니다,We welcome all of you.
프레젠테이션,프레젠테이션 시작 및 소개,인사,착석해 주시기 바랍니다,Please be seated.
프레젠테이션,프레젠테이션 시작 및 소개,인사,간단히 주간 프레젠테이션을 하겠습니다,We will have a short weekly presentation.
프레젠테이션,프레젠테이션 시작 및 소개,인사,(오늘) 이 프레젠테이션을 하게 되어 기쁩니다,It's my pleasure to present this presentation.
프레젠테이션,프레젠테이션 시작 및 소개,인사,(오늘) 이 프레젠테이션을 하게 되어 기쁩니다,It's my honor to give this presentation today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 여러분 앞에서 말할 수 있게 되어 기쁩니다,I'm glad to be able to speak in front of you today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,(오늘 저녁) (이 문제에 관한) 발표 기회를 주셔서 감사합니다,Thank you for this opportunity.
프레젠테이션,프레젠테이션 시작 및 소개,인사,(오늘 저녁) (이 문제에 관한) 발표 기회를 주셔서 감사합니다,Thank you for giving me this opportunity to present this issue.
프레젠테이션,프레젠테이션 시작 및 소개,인사,(오늘 저녁) (이 문제에 관한) 발표 기회를 주셔서 감사합니다,Thank you for granting me this presentation opportunity.
프레젠테이션,프레젠테이션 시작 및 소개,인사,(오늘 저녁) (이 문제에 관한) 발표 기회를 주셔서 감사합니다,Thank you all for letting me talk tonight.
프레젠테이션,프레젠테이션 시작 및 소개,인사,(오늘 저녁) (이 문제에 관한) 발표 기회를 주셔서 감사합니다,Thank you for letting me talk here tonight.
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 이 회의에[제 발표에] 참석해 주셔서 감사드립니다,Thank you for participating in this meeting today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 이 회의에[제 발표에] 참석해 주셔서 감사드립니다,Thank you for attending my presentation today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 이 회의에[제 발표에] 참석해 주셔서 감사드립니다,Thank you for taking part in this presentation today.
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 여러분들에게 프레젠테이션을 할 기회를 갖게 되어 정말 기쁩니다!,What a wonderful opportunity it is to give a presentation to you today!
프레젠테이션,프레젠테이션 시작 및 소개,인사,"자, 슬슬 시작해 봅시다",Let's get the show on the road.
프레젠테이션,프레젠테이션 시작 및 소개,인사,시작하겠습니다,Let me begin.
프레젠테이션,프레젠테이션 시작 및 소개,인사,이 프레젠테이션 동안 여러분이 졸지 않길 바랍니다,I hope this presentation doesn't make you doze off.
프레젠테이션,프레젠테이션 시작 및 소개,인사,오늘 여러분 모두 별일 없으시길 바랍니다,Hope most of you are well today.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,간단히 제 소개를 하고 시작하죠,Let me start by saying just a few words about myself.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,우선 간단히 제 소개를 하고 시작하겠습니다,Let me start off by briefly introduing myself first.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,제 소개를 하겠습니다,Let me introduce myself.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,제 소개를 하겠습니다,I'd like to introduce myself.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,제 소개를 하겠습니다,Let me tell you who I am first.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저를 모르시는 분들을 위해 제 소개를 하죠. 저는 수잔 김입니다.,"For those of you who don't know me, let me introduce myself. I'm Susan Kim."
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저를 이미 아시는 분도 게시죠. 저는 마케팅부의 수잔 김입니다.,"As some of you already know, I'm Susan Ki, of the Marketing Department."
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,"다들 저를 벌써 알고 계실 텐데, 혹시 기억을 못 하실 수 있으니 다시 말씀드리죠/ 저는 제임스 김입니다.","Most of you should know me already, but in case you don't remember, I am James Kim."
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,"다들 저를 벌써 알고 계실 텐데, 혹시 기억을 못 하실 수 있으니 다시 말씀드리죠/ 저는 제임스 김입니다.","I think most of you know me already, but just in case you don't remember, I'm james Kim."
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,제가 누구인지 말 안 해도 다 아시죠?,"It's needless to mention who I am, right?I'm sure most of you already know me."
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,여러분 대부분이 저를 아실 거라고 믿습니다.,I'm Harry Park and I'm from XYZ.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 해리 박이고 XYZ 사 소속입니다,I'm Harry Park and I'm with XYZ.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 프로젝트 매니저입니다,I'm a project manager.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 새로 온 프로젝트 매니저입니다,I'm a new project manager.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 연구개발 컨설턴트입니다,I'm an R&D consultant.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 수석 엔지니어입니다,I'm a senior engineer.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 (우리 회사의) 기업 재무를 담당하고 입습니다.,I'm in charge of corporate finance.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 (우리 회사의) 기업 재무를 담당하고 입습니다.,I'm responsible for corporate finance of our firm.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 홍보 분야에 있습니다.,I'm in public relations.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 기획부의 임수진입니다. 저는 현재 비즈니스 전략 기획을 담당하고 있습니다.,"I'm Sujin Lim from the planning Department. I'm currently working on planning business strategies,"
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저는 새로운 관리 시스템의 실행 및 운영을 맡고 있는 새로 온 프로젝트 매닞저입니다.,I'm a new project manager in charge of implementing and running our new management system.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,"박 과장님, 저를 소개해 주셔서 감사합니다. 말씀하신 것처럼 저는 인사부 대리입니다.","Thanks Mr. Park for introducing me. As he said, I'm the assisatant anager of the HR Department."
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,지난 몇 달 간 저는 이 프로젝트를 담당해 왔습니다.,I have been in charge of this project for the last few months/
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,저희 아웃소싱팀은 이 프레젠테이션을 정말 열심히 준비해 왔습니다. 오늘 발표에서 각 부서가 따라야 할 회사의 아웃소싱 정책에 관한 중요한 지침을 설명해 드릴 것입니다.,Our outsourcing team has veen preparing for this presentation really hard. This presentationwill explain the important guidelines about our company's outsourcing policy for each department to follow.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,돌아와서 기쁩니다,It's good to be back here.
프레젠테이션,프레젠테이션 시작 및 소개,자기소개,"그래요, 제가 돌아왔습니다","Yes, I'm back."
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,오늘 프레젠테이션의 주제는 저희의 효율성을 어떻게 개선하느냐입니다.,The topic of today's presentation is how to improve our efficiency.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,오늘 프레젠테이션의 주제는 구젲 경제 안정에 있어서의 IMF의 역할입니다.,The title of today's presentation is the role of th eIMF in international economic stability.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,반도체 산업의 최신 기술에 대해 설명드리고 싶습니다.,I'd like to explain the latest technology in the semiconductor industry.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,저희 신상품의 특별한 특징에 관해 알려드리고 싶습니다.,I'd like to let you know the special features of our new product.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,여러분께 깜짝 놀랄 만한 결과를 발표해 드리고 싶습니다.,I'd like to present to you an astonishing finding.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,제 발표의 주제는 연비 효율성입니다.,The topic of my talk is fuel efficiency.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,제가 오늘 말씀드리고자 하는 것은 석유 정치입니다.,What I'm going to talk about today is the politics of oil.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,"자, 그럼 주제가 무엇이냐고요? 바로 조직 학습입니다.",So what's the topic? Organizational Learning.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,저는 최근의 지진 패턴에 관해 이야기하려고 이 자리에 나오게 됐습니다.,I'm here to talk about recentearthquake patterns.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,저희의 사업 목표에 관해 말씀드리겠습니다.,I'm going to talk about our business objectives.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,이 프레젠테이션의 핵심은 여러분에게 저희 마케팅 전략을 알려 드리는 것입니다.,The crux of this presentation is to inform you of our marketing strategies.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,이 프레젠테이션의 목적은 저희의 새 사업모델의 효율성을 강조하고자 하는 것입니다.,The purpose of this presentation is to emphasize the efficiency of our new business model
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,이 발표를 통해 여러분께 전해 드리고자 하는 중요한 메시지는 문화 차이가 고려되어야 한다는 것입니다.,The important message I would like to deliver throughout this presentation is that cultural differences must be taken inton account.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,제가 말씀드리고자 하는 다음 사항을 잘 들어 주셨으면 합니다.,I would like to be heard on the following points that I make.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,아동 학대 피해자들의 이야기를 들려 드리도록 하겠습니다.,I'm goding to share some stories of victims of child abuse.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,옥스팜의 세 가지 철칙을 소개해 드리죠.,Let me introduce the three mottos of oxfam.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,여러분은 오늘 국제 정치에 관한 새로운 관점을 배워 가실 겁니다.,yYou will learn about new perspectives on international politics today.
프레젠테이션,프레젠테이션 서론,프레젠테이션 주제 소개,이 프레젠테이션을 통해 여러분은 그린 기술을 뒷받침하는 이론을 이해하실 수 있게 될 것입니다.,"From this presentation, you will be able to understand the concept behind green technology."
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,저희의 최근 국제 거래에 관한 정보를 업데이트해 드리는 것이 이 프레젠테이션의 목적입니다.,The aim of this presentation is to update you on our latest international deals.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,본 발표의 목적은 저희의 새로운 고용 정책이 몇 가지 사항을 명확히 해 드리려는 것입니다.,The goal of this presentation is to clarify some issues in our new employment policy.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,이 프레젠테이션의 목적은 저희의 최신 상품의 경쟁력을 높이는 몇 가지 방버을 제시하려는 것이죠.,The purpose of this presentation is to suggest some ways to raise the competitiveness of our latest products
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,이 발표의 목적은 이번 분기에 대한 저희 사업 계획에 관해 토론하기 위해서입니다.,The purpose of this talk is to discuss our business plans for this quarter.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,이 프레젠테이션은 여러분이 더 나은 투자 선택을 하시도록 돕기 위한 것입니다.,This presentation is to help you make a better investment choice.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,저희는 사업전략을 검토하기 위해 오늘 이 자리에 나왔습니다.,We are here today to go over our business strategies.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,저희이 최신 기술에 대한 흥미로운 조사 결과를 발표해 드리고 싶습니다.,I'd like to present some interesting findings to you about our latest technology.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,이 발표로 여러분께 NGO활동에 대해 기본 지식이 제공되길 바랍니다.,I hope this talk will provide you with some basic knowledge about NGO activities.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,"즉, 여기서 제가 강조하고자 하는 것은 그 아이들에 대한 개별적 관심이 필요하다는 것입니다.",So what I'm pointing out here is that we need individual care for those children.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,본 발표는 임대 계약의 세금 관점을 부각시키기 위한 것입니다.,This talk is designed to emphasize the tax angle of the leasing arrangement.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,이 프레젠테이션에서 국내 철강 시장에서의 우리의 현황에 관한 최신 정보를 드릴 것입니다.,This presentation will update everyone on our current status in the domestic steel market.
프레젠테이션,프레젠테이션 서론,프레젠테이션 목적 제시,이 프레젠테이션은 저희 신규 사업의 간단한 개요를 알려 드리려고 마련되었습니다.,this presentation is organized to give you a brief outline of our new business.
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,"자, 여러분께 몇 가지 질문을 드리며 프레젠테이션을 시작할까 합니다.","Now, let me begin the presentation by asking you some questions."
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,여러분에게 질문을 하나 드리면서 시작하고 싶습니다.,I'd like to open up by asking you a question
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,저희 의제을 소개하면서 시작하고 싶습니다,I'd like to open up by intoducing our agenda.
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,저희의 마케팅 전략에 관한 몇가지 관차 보고와 함께 시작하겠습니다.,Let's get the show on the road with a few observations about our marketing strategies
프레젠테이션,프레젠테이션 서론,프레젠테이션 시작 알리기,연구 개발에 관한 몇 가지 관찰 보고와 함께 시작하겠습니다.,let's get the show on the road with a few observations about R&D
